id	occurrences	char	shape_hex
g93	1612	豊	1aeba42eebb82ffff82eebb81aaaa43ffffc1aaaa42eaab82ffff86baae9bffffe000000
g94	1596	験	bfe2d0bb9bb4bfed2dbb9ff8bfcae4bb9ffcbfeeec59affcaea2d0aeabb453ed28000000
g95	1548	素	2abaa83ffffc0abaa00abaa0bffffe6abba90bebb06afeb83fffe82b79e8293868000000
g96	1532	元	0aaaa00ffff00000000000003ffffc2aeba802c38002c3800783896e03ae2802fd000000
g97	1508	嶋	0e1ae80e2eacaeeffcaeeeacaeeea8aeeffeaeeea9aeeffebfd65eaaabae503bad000000
g98	1508	滋	28a0741ebaf912fffeb4a0a025a9a803efed29e9e82cb8b838acacb5fefe72eaea000000
g99	1498	為	1d2c000e28006bbaa0bffff002eab407fff80baab92ffffe7444ae2ade6e24967d000000
g100	1468	某	0b00e03ffffc2baae80bffe00baae006ae903ffffc2affa81beee47e6cbd142c04000000
g101	1468	読	3faae92a7ffebfdae86aaffc3faaa92a7ffe2a799e3faee93a9ee43fbcee3a74bd000000
g102	1466	想	0386a93ffbfe2febae1ffbae7babfe278bae024aa92aee182ec9bc7aeaee21ffd9000000
g103	1444	逃	242ec079aed829fef8006ed068bee8bdeedd2cbee82df6fc2e90a4bbfffd20aaa8000000
g104	1440	聡	bfebb07aee383aeadd3fc7643adefd3fef993ac9843adaed7ffa597aeeb802cbf4000000
g105	1438	引	3ff8382ab8381ab8382ff8382c00382ea8383ffc38002c38002c380abc380bf438000000
g106	1426	個	0afffe0eebae2deb9e3cefeebceb9e3cefee2ceeee2cefee2cea9e2cfffe2ceaae000000
g107	1420	版	278ffc3b8ea83b8e003feffc3a9eec3a8eec3fceec3aceb87adeb4b2eeed22c998000000
g108	1420	国	3ffffc3aaaac3bffec3abaac3abaac3bffec383a6c3bffec3aaaac3ffffc3aaaac000000
g109	1410	誰	3fca742a8ea0bfeffe6abeb93feffc2a8eb82a8eb83fcffc3aceb03fcffe3a8ea9000000
g110	1386	海	28baa91ebffe26eaa87abffc1db3ac02fffe0abbad0ebbad2dfffe7896b82403f4000000
g111	1386	記	3feaa82a9ffcbff02c6aa02c3feaac2a9ffc2a9e003fee043aee0e3feeae3a9bfd000000
